fid,nome,geometriaaproximada,geocodigo,anodereferencia
168,Nova Andradina,Não,"5006200",
169,Maracaju,Não,"5005400",
170,Jateí,Não,"5005103",
171,Quitandinha,Não,"4121208",
172,Chopinzinho,Não,"4105409",
173,Reserva do Iguaçu,Não,"4121752",
174,Novo Horizonte do Sul,Não,"5006259",
175,Eldorado,Não,"5003751",
176,Douradina,Não,"5003504",
177,Ivinhema,Não,"5004700",
178,Guia Lopes da Laguna,Não,"5004106",
179,Dois Irmãos do Buriti,Não,"5003488",
180,Campo Magro,Não,"4104253",
181,Colombo,Não,"4105805",
182,Quedas do Iguaçu,Não,"4120903",
183,São Miguel do Iguaçu,Não,"4125704",
184,Catanduvas,Não,"4105003",
185,Fernandes Pinheiro,Não,"4107736",
186,Santa Helena,Não,"4123501",
187,Uruguaiana,Não,"4322400",
188,Laranjal Paulista,Não,"3526407",
189,Quaraí,Não,"4315305",
190,Aral Moreira,Não,"5001243",
191,Mundo Novo,Não,"5005681",
192,Japorã,Não,"5004809",
193,Coronel Sapucaia,Não,"5003157",
194,Elias Fausto,Não,"3514908",
195,Avaré,Não,"3504503",
196,Cambé,Não,"4103701",
197,Ipaussu,Não,"3520905",
198,Ilhéus,Não,"2913606",
199,Piracaia,Não,"3538600",
200,Céu Azul,Não,"4105300",
201,Teixeira Soares,Não,"4127007",
202,Cerro Azul,Não,"4105201",
203,Candói,Não,"4104428",
204,Porto Amazonas,Não,"4120101",
205,Porto Barreiro,Não,"4120150",
206,Reserva,Não,"4121703",
207,Sete Barras,Não,"3551801",
208,Iporanga,Não,"3521200",
209,Quatro Pontes,Não,"4120853",
210,Nova Tebas,Não,"4117271",
211,Campina da Lagoa,Não,"4103909",
212,Palotina,Não,"4117909",
213,Miracatu,Não,"3529906",
214,Rancho Alegre D'Oeste,Não,"4121356",
215,Itariri,Não,"3523305",
216,Pedro de Toledo,Não,"3537206",
217,Guapiara,Não,"3517604",
218,Juquiá,Não,"3526100",
219,Ortigueira,Não,"4117305",
220,Bom Sucesso de Itararé,Não,"3507159",
221,Arapoti,Não,"4101606",
222,Santo Antônio dos Lopes,Não,"2110302",
